"","Gender","Cancer type","Stage","HR","cfDNA status","50-54","55-59","60-64","65-69","70-74","75-79"
"33","Female","Bladder","II","3","negative",1,1,1,1,1,1
"34","Female","Bladder","II","1","positive",1,1,1,1,1,1
"35","Female","Bladder","II","1andhalf","positive",1,1,1,1,1,1
"36","Female","Bladder","II","3","positive",1,1,1,1,1,1
"37","Female","Bladder","III","1","negative",1,1,1,1,1,1
"38","Female","Bladder","III","1andhalf","negative",1,1,1,1,1,1
"39","Female","Bladder","III","3","negative",1,1,1,1,1,1
"40","Female","Bladder","III","1","positive",1,1,1,1,1,1
"41","Female","Bladder","III","1andhalf","positive",1,1,1,1,1,1
"42","Female","Bladder","III","3","positive",1,1,1,1,1,1
"43","Female","Bladder","IV","1","negative",1,1,1,1,1,1
"44","Female","Bladder","IV","1andhalf","negative",1,1,1,1,1,1
"45","Female","Bladder","IV","3","negative",1,1,1,1,1,1
"46","Female","Bladder","IV","1","positive",1,1,1,1,1,1
"47","Female","Bladder","IV","1andhalf","positive",1,1,1,1,1,1
"48","Female","Bladder","IV","3","positive",1,1,1,1,1,1
"49","Female","Breast","I","1","negative",1,1,1,1,0,1
"50","Female","Breast","I","1andhalf","negative",1,1,1,1,0,1
"51","Female","Breast","I","3","negative",1,1,1,1,0,1
"52","Female","Breast","I","1","positive",1,1,1,1,0,1
"53","Female","Breast","I","1andhalf","positive",1,1,1,1,0,0
"54","Female","Breast","I","3","positive",1,1,1,1,0,0
"55","Female","Breast","II","1","negative",1,1,1,1,1,1
"56","Female","Breast","II","1andhalf","negative",1,1,1,1,1,1
"57","Female","Breast","II","3","negative",1,1,1,1,1,1
"58","Female","Breast","II","1","positive",1,1,1,1,1,1
"59","Female","Breast","II","1andhalf","positive",1,1,1,1,1,1
"60","Female","Breast","II","3","positive",1,1,1,1,1,1
"61","Female","Breast","III","1","negative",1,1,1,1,1,1
"62","Female","Breast","III","1andhalf","negative",1,1,1,1,1,1
"63","Female","Breast","III","3","negative",1,1,1,1,1,1
"64","Female","Breast","III","1","positive",1,1,1,1,1,1
"65","Female","Breast","III","1andhalf","positive",1,1,1,1,1,1
"66","Female","Breast","III","3","positive",1,1,1,1,1,1
"67","Female","Breast","IV","1","negative",1,1,1,1,1,1
"68","Female","Breast","IV","1andhalf","negative",1,1,1,1,1,1
"69","Female","Breast","IV","3","negative",1,1,1,1,1,1
"70","Female","Breast","IV","1","positive",1,1,1,1,1,1
"71","Female","Breast","IV","1andhalf","positive",1,1,1,1,1,1
"72","Female","Breast","IV","3","positive",1,1,1,1,1,1
"73","Female","Cervix","I","1","negative",1,1,1,1,1,1
"74","Female","Cervix","I","1andhalf","negative",1,1,1,1,1,1
"75","Female","Cervix","I","3","negative",1,1,1,1,1,1
"76","Female","Cervix","I","1","positive",1,1,1,1,1,1
"77","Female","Cervix","I","1andhalf","positive",1,1,1,1,1,1
"78","Female","Cervix","I","3","positive",1,1,1,1,1,1
"79","Female","Cervix","II","1","negative",1,1,1,1,1,1
"80","Female","Cervix","II","1andhalf","negative",1,1,1,1,1,1
"81","Female","Cervix","II","3","negative",1,1,1,1,1,1
"82","Female","Cervix","II","1","positive",1,1,1,1,1,1
"83","Female","Cervix","II","1andhalf","positive",1,1,1,1,1,1
"84","Female","Cervix","II","3","positive",1,1,1,1,1,1
"85","Female","Cervix","III","1","negative",1,1,1,1,1,1
"86","Female","Cervix","III","1andhalf","negative",1,1,1,1,1,1
"87","Female","Cervix","III","3","negative",1,1,1,1,1,1
"88","Female","Cervix","III","1","positive",1,1,1,1,1,1
"89","Female","Cervix","III","1andhalf","positive",1,1,1,1,1,1
"90","Female","Cervix","III","3","positive",1,1,1,1,1,1
"91","Female","Cervix","IV","1","negative",1,1,1,1,1,1
"92","Female","Cervix","IV","1andhalf","negative",1,1,1,1,1,1
"93","Female","Cervix","IV","3","negative",1,1,1,1,1,1
"94","Female","Cervix","IV","1","positive",1,1,1,1,1,1
"95","Female","Cervix","IV","1andhalf","positive",1,1,1,1,1,1
"96","Female","Cervix","IV","3","positive",1,1,1,1,1,1
"97","Female","Colon/Rectum","I","1","negative",1,1,1,1,1,1
"98","Female","Colon/Rectum","I","1andhalf","negative",1,1,1,1,1,1
"99","Female","Colon/Rectum","I","3","negative",1,1,1,1,1,1
"100","Female","Colon/Rectum","I","1","positive",1,1,1,1,1,1
"101","Female","Colon/Rectum","I","1andhalf","positive",1,1,1,1,1,1
"102","Female","Colon/Rectum","I","3","positive",1,1,1,1,1,1
"103","Female","Colon/Rectum","II","1","negative",1,1,1,1,1,1
"104","Female","Colon/Rectum","II","1andhalf","negative",1,1,1,1,1,1
"105","Female","Colon/Rectum","II","3","negative",1,1,1,1,1,1
"106","Female","Colon/Rectum","II","1","positive",1,1,1,1,1,1
"107","Female","Colon/Rectum","II","1andhalf","positive",1,1,1,1,1,1
"108","Female","Colon/Rectum","II","3","positive",1,1,1,1,1,1
"109","Female","Colon/Rectum","III","1","negative",1,1,1,1,1,1
"110","Female","Colon/Rectum","III","1andhalf","negative",1,1,1,1,1,1
"111","Female","Colon/Rectum","III","3","negative",1,1,1,1,1,1
"112","Female","Colon/Rectum","III","1","positive",1,1,1,1,1,1
"113","Female","Colon/Rectum","III","1andhalf","positive",1,1,1,1,1,1
"114","Female","Colon/Rectum","III","3","positive",1,1,1,1,1,1
"115","Female","Colon/Rectum","IV","1","negative",1,1,1,1,1,1
"116","Female","Colon/Rectum","IV","1andhalf","negative",1,1,1,1,1,1
"117","Female","Colon/Rectum","IV","3","negative",1,1,1,1,1,1
"118","Female","Colon/Rectum","IV","1","positive",1,1,1,1,1,1
"119","Female","Colon/Rectum","IV","1andhalf","positive",1,1,1,1,1,1
"120","Female","Colon/Rectum","IV","3","positive",1,1,1,1,1,1
"121","Female","Esophagus","I","1","negative",1,1,1,1,1,1
"122","Female","Esophagus","I","1andhalf","negative",1,1,1,1,1,1
"123","Female","Esophagus","I","3","negative",1,1,1,1,1,1
"124","Female","Esophagus","I","1","positive",1,1,1,1,1,1
"125","Female","Esophagus","I","1andhalf","positive",1,1,1,1,1,1
"126","Female","Esophagus","I","3","positive",1,1,1,1,1,1
"127","Female","Esophagus","II","1","negative",1,1,1,1,1,1
"128","Female","Esophagus","II","1andhalf","negative",1,1,1,1,1,1
"129","Female","Esophagus","II","3","negative",1,1,1,1,1,1
"130","Female","Esophagus","II","1","positive",1,1,1,1,1,1
"131","Female","Esophagus","II","1andhalf","positive",1,1,1,1,1,1
"132","Female","Esophagus","II","3","positive",1,1,1,1,1,1
"133","Female","Esophagus","III","1","negative",1,1,1,1,1,1
"134","Female","Esophagus","III","1andhalf","negative",1,1,1,1,1,1
"135","Female","Esophagus","III","3","negative",1,1,1,1,1,1
"136","Female","Esophagus","III","1","positive",1,1,1,1,1,1
"137","Female","Esophagus","III","1andhalf","positive",1,1,1,1,1,1
"138","Female","Esophagus","III","3","positive",1,1,1,1,1,1
"139","Female","Esophagus","IV","1","negative",1,1,1,1,1,1
"140","Female","Esophagus","IV","1andhalf","negative",1,1,1,1,1,1
"141","Female","Esophagus","IV","3","negative",1,1,1,1,1,1
"142","Female","Esophagus","IV","1","positive",1,1,1,1,1,1
"143","Female","Esophagus","IV","1andhalf","positive",1,1,1,1,1,1
"144","Female","Esophagus","IV","3","positive",1,1,1,1,1,1
"145","Female","Gallbladder","I","1","negative",1,1,1,1,1,1
"146","Female","Gallbladder","I","1andhalf","negative",1,1,1,1,1,1
"147","Female","Gallbladder","I","3","negative",1,1,1,1,1,1
"148","Female","Gallbladder","I","1","positive",1,1,1,1,1,1
"149","Female","Gallbladder","I","1andhalf","positive",1,1,1,1,1,1
"150","Female","Gallbladder","I","3","positive",1,1,1,1,1,1
"151","Female","Gallbladder","II","1","negative",1,1,1,1,1,1
"152","Female","Gallbladder","II","1andhalf","negative",1,1,1,1,1,1
"153","Female","Gallbladder","II","3","negative",1,1,1,1,1,1
"154","Female","Gallbladder","II","1","positive",1,1,1,1,1,1
"155","Female","Gallbladder","II","1andhalf","positive",1,1,1,1,1,1
"156","Female","Gallbladder","II","3","positive",1,1,1,1,1,1
"157","Female","Gallbladder","III","1","negative",1,1,1,1,1,1
"158","Female","Gallbladder","III","1andhalf","negative",1,1,1,1,1,1
"159","Female","Gallbladder","III","3","negative",1,1,1,1,1,1
"160","Female","Gallbladder","III","1","positive",1,1,1,1,1,1
"161","Female","Gallbladder","III","1andhalf","positive",1,1,1,1,1,1
"162","Female","Gallbladder","III","3","positive",1,1,1,1,1,1
"163","Female","Gallbladder","IV","1","negative",1,1,1,1,1,0
"164","Female","Gallbladder","IV","1andhalf","negative",1,1,1,1,1,0
"165","Female","Gallbladder","IV","3","negative",1,1,1,1,1,0
"166","Female","Gallbladder","IV","1","positive",1,1,1,1,1,0
"167","Female","Gallbladder","IV","1andhalf","positive",1,1,1,1,1,0
"168","Female","Gallbladder","IV","3","positive",1,1,1,1,1,0
"169","Female","Head and Neck","I","1","negative",1,1,1,1,1,1
"170","Female","Head and Neck","I","1andhalf","negative",1,1,1,1,1,1
"171","Female","Head and Neck","I","3","negative",1,1,1,1,1,1
"172","Female","Head and Neck","I","1","positive",1,1,1,1,1,1
"173","Female","Head and Neck","I","1andhalf","positive",1,1,1,1,1,1
"174","Female","Head and Neck","I","3","positive",1,1,1,1,1,1
"175","Female","Head and Neck","II","1","negative",1,1,1,1,1,1
"176","Female","Head and Neck","II","1andhalf","negative",1,1,1,1,1,1
"177","Female","Head and Neck","II","3","negative",1,1,1,1,1,1
"178","Female","Head and Neck","II","1","positive",1,1,1,1,1,1
"179","Female","Head and Neck","II","1andhalf","positive",1,1,1,1,1,1
"180","Female","Head and Neck","II","3","positive",1,1,1,1,1,1
"181","Female","Head and Neck","III","1","negative",1,1,1,1,1,1
"182","Female","Head and Neck","III","1andhalf","negative",1,1,1,1,1,1
"183","Female","Head and Neck","III","3","negative",1,1,1,1,1,1
"184","Female","Head and Neck","III","1","positive",1,1,1,1,1,1
"185","Female","Head and Neck","III","1andhalf","positive",1,1,1,1,1,1
"186","Female","Head and Neck","III","3","positive",1,1,1,1,1,1
"187","Female","Head and Neck","IV","1","negative",1,1,1,1,1,1
"188","Female","Head and Neck","IV","1andhalf","negative",1,1,1,1,1,1
"189","Female","Head and Neck","IV","3","negative",1,1,1,1,1,1
"190","Female","Head and Neck","IV","1","positive",1,1,1,1,1,1
"191","Female","Head and Neck","IV","1andhalf","positive",1,1,1,1,1,1
"192","Female","Head and Neck","IV","3","positive",1,1,1,1,1,1
"193","Female","Kidney","I","1","negative",1,1,1,1,1,1
"194","Female","Kidney","I","1andhalf","negative",1,1,1,1,1,1
"195","Female","Kidney","I","3","negative",1,1,1,1,1,1
"196","Female","Kidney","I","1","positive",1,1,1,1,1,1
"197","Female","Kidney","I","1andhalf","positive",1,1,1,1,1,1
"198","Female","Kidney","I","3","positive",1,1,1,1,1,1
"199","Female","Kidney","II","1","negative",1,1,1,1,1,1
"200","Female","Kidney","II","1andhalf","negative",1,1,1,1,1,1
"201","Female","Kidney","II","3","negative",1,1,1,1,1,1
"202","Female","Kidney","II","1","positive",1,1,1,1,1,1
"203","Female","Kidney","II","1andhalf","positive",1,1,1,1,1,1
"204","Female","Kidney","II","3","positive",1,1,1,1,1,1
"205","Female","Kidney","III","1","negative",1,1,1,1,1,1
"206","Female","Kidney","III","1andhalf","negative",1,1,1,1,1,1
"207","Female","Kidney","III","3","negative",1,1,1,1,1,1
"208","Female","Kidney","III","1","positive",1,1,1,1,1,1
"209","Female","Kidney","III","1andhalf","positive",1,1,1,1,1,1
"210","Female","Kidney","III","3","positive",1,1,1,1,1,1
"211","Female","Kidney","IV","1","negative",1,1,1,1,1,1
"212","Female","Kidney","IV","1andhalf","negative",1,1,1,1,1,1
"213","Female","Kidney","IV","3","negative",1,1,1,1,1,1
"214","Female","Kidney","IV","1","positive",1,1,1,1,1,1
"215","Female","Kidney","IV","1andhalf","positive",1,1,1,1,1,1
"216","Female","Kidney","IV","3","positive",1,1,1,1,1,1
"217","Female","Liver/Bile-duct","I","1","negative",1,1,1,1,1,1
"218","Female","Liver/Bile-duct","I","1andhalf","negative",1,1,1,1,1,1
"219","Female","Liver/Bile-duct","I","3","negative",1,1,1,1,1,1
"220","Female","Liver/Bile-duct","I","1","positive",1,1,1,1,1,1
"221","Female","Liver/Bile-duct","I","1andhalf","positive",1,1,1,1,1,1
"222","Female","Liver/Bile-duct","I","3","positive",1,1,1,1,1,1
"223","Female","Liver/Bile-duct","II","1","negative",1,1,1,1,1,1
"224","Female","Liver/Bile-duct","II","1andhalf","negative",1,1,1,1,1,1
"225","Female","Liver/Bile-duct","II","3","negative",1,1,1,1,1,1
"226","Female","Liver/Bile-duct","II","1","positive",1,1,1,1,1,1
"227","Female","Liver/Bile-duct","II","1andhalf","positive",1,1,1,1,1,1
"228","Female","Liver/Bile-duct","II","3","positive",1,1,1,1,1,1
"229","Female","Liver/Bile-duct","III","1","negative",1,1,1,1,1,1
"230","Female","Liver/Bile-duct","III","1andhalf","negative",1,1,1,1,1,1
"231","Female","Liver/Bile-duct","III","3","negative",1,1,1,1,1,1
"232","Female","Liver/Bile-duct","III","1","positive",1,1,1,1,1,1
"233","Female","Liver/Bile-duct","III","1andhalf","positive",1,1,1,1,1,1
"234","Female","Liver/Bile-duct","III","3","positive",1,1,1,1,1,1
"235","Female","Liver/Bile-duct","IV","1","negative",1,1,1,1,1,1
"236","Female","Liver/Bile-duct","IV","1andhalf","negative",1,1,1,1,1,1
"237","Female","Liver/Bile-duct","IV","3","negative",1,1,1,1,1,1
"238","Female","Liver/Bile-duct","IV","1","positive",1,1,1,1,1,1
"239","Female","Liver/Bile-duct","IV","1andhalf","positive",1,1,1,1,1,1
"240","Female","Liver/Bile-duct","IV","3","positive",1,1,1,1,1,1
"241","Female","Lung","I","1","negative",1,1,1,1,1,1
"242","Female","Lung","I","1andhalf","negative",1,1,1,1,1,1
"243","Female","Lung","I","3","negative",1,1,1,1,1,1
"244","Female","Lung","I","1","positive",1,1,1,1,1,1
"245","Female","Lung","I","1andhalf","positive",1,1,1,1,1,1
"246","Female","Lung","I","3","positive",1,1,1,1,1,1
"247","Female","Lung","II","1","negative",1,1,1,1,1,1
"248","Female","Lung","II","1andhalf","negative",1,1,1,1,1,1
"249","Female","Lung","II","3","negative",1,1,1,1,1,1
"250","Female","Lung","II","1","positive",1,1,1,1,1,1
"251","Female","Lung","II","1andhalf","positive",1,1,1,1,1,1
"252","Female","Lung","II","3","positive",1,1,1,1,1,1
"253","Female","Lung","III","1","negative",1,1,1,1,1,1
"254","Female","Lung","III","1andhalf","negative",1,1,1,1,1,1
"255","Female","Lung","III","3","negative",1,1,1,1,1,1
"256","Female","Lung","III","1","positive",1,1,1,1,1,1
"257","Female","Lung","III","1andhalf","positive",1,1,1,1,1,1
"258","Female","Lung","III","3","positive",1,1,1,1,1,1
"259","Female","Lung","IV","1","negative",1,1,1,1,1,1
"260","Female","Lung","IV","1andhalf","negative",1,1,1,1,1,1
"261","Female","Lung","IV","3","negative",1,1,1,1,1,1
"262","Female","Lung","IV","1","positive",1,1,1,1,1,1
"263","Female","Lung","IV","1andhalf","positive",1,1,1,1,1,1
"264","Female","Lung","IV","3","positive",1,1,1,1,1,1
"265","Female","Lymphoma","I","1","negative",1,1,1,1,1,1
"266","Female","Lymphoma","I","1andhalf","negative",1,1,1,1,1,1
"267","Female","Lymphoma","I","3","negative",1,1,1,1,1,1
"268","Female","Lymphoma","I","1","positive",1,1,1,1,1,1
"269","Female","Lymphoma","I","1andhalf","positive",1,1,1,1,1,1
"270","Female","Lymphoma","I","3","positive",1,1,1,1,1,1
"271","Female","Lymphoma","II","1","negative",1,1,1,1,1,1
"272","Female","Lymphoma","II","1andhalf","negative",1,1,1,1,1,1
"273","Female","Lymphoma","II","3","negative",1,1,1,1,1,1
"274","Female","Lymphoma","II","1","positive",1,1,1,1,1,1
"275","Female","Lymphoma","II","1andhalf","positive",1,1,1,1,1,1
"276","Female","Lymphoma","II","3","positive",1,1,1,1,1,1
"277","Female","Lymphoma","III","1","negative",1,1,1,1,1,1
"278","Female","Lymphoma","III","1andhalf","negative",1,1,1,1,1,1
"279","Female","Lymphoma","III","3","negative",1,1,1,1,1,1
"280","Female","Lymphoma","III","1","positive",1,1,1,1,1,1
"281","Female","Lymphoma","III","1andhalf","positive",1,1,1,1,1,1
"282","Female","Lymphoma","III","3","positive",1,1,1,1,1,1
"283","Female","Lymphoma","IV","1","negative",1,1,1,1,1,1
"284","Female","Lymphoma","IV","1andhalf","negative",1,1,1,1,1,1
"285","Female","Lymphoma","IV","3","negative",1,1,1,1,1,1
"286","Female","Lymphoma","IV","1","positive",1,1,1,1,1,1
"287","Female","Lymphoma","IV","1andhalf","positive",1,1,1,1,1,1
"288","Female","Lymphoma","IV","3","positive",1,1,1,1,1,1
"289","Female","Melanoma","I","1","negative",1,1,1,1,1,1
"290","Female","Melanoma","I","1andhalf","negative",1,1,1,1,1,1
"291","Female","Melanoma","I","3","negative",1,1,1,1,1,1
"292","Female","Melanoma","I","1","positive",1,1,1,1,1,1
"293","Female","Melanoma","I","1andhalf","positive",1,1,1,0,1,1
"294","Female","Melanoma","I","3","positive",1,1,0,0,0,0
"295","Female","Melanoma","II","1","negative",1,1,1,1,1,1
"296","Female","Melanoma","II","1andhalf","negative",1,1,1,1,1,1
"297","Female","Melanoma","II","3","negative",1,1,1,1,1,1
"298","Female","Melanoma","II","1","positive",1,1,1,1,1,1
"299","Female","Melanoma","II","1andhalf","positive",1,1,1,1,1,1
"300","Female","Melanoma","II","3","positive",1,1,1,1,1,1
"301","Female","Melanoma","III","1","negative",1,1,1,1,1,1
"302","Female","Melanoma","III","1andhalf","negative",1,1,1,1,1,1
"303","Female","Melanoma","III","3","negative",1,1,1,1,1,1
"304","Female","Melanoma","III","1","positive",1,1,1,1,1,1
"305","Female","Melanoma","III","1andhalf","positive",1,1,1,1,1,1
"306","Female","Melanoma","III","3","positive",1,1,1,1,1,1
"307","Female","Melanoma","IV","1","negative",1,1,1,1,1,1
"308","Female","Melanoma","IV","1andhalf","negative",1,1,1,1,1,1
"309","Female","Melanoma","IV","3","negative",1,1,1,1,1,1
"310","Female","Melanoma","IV","1","positive",1,1,1,1,1,1
"311","Female","Melanoma","IV","1andhalf","positive",1,1,1,1,1,1
"312","Female","Melanoma","IV","3","positive",1,1,1,1,1,1
"313","Female","Ovary","I","1","negative",1,1,1,1,1,1
"314","Female","Ovary","I","1andhalf","negative",1,1,1,1,1,1
"315","Female","Ovary","I","3","negative",1,1,1,1,1,1
"316","Female","Ovary","I","1","positive",1,1,1,1,1,1
"317","Female","Ovary","I","1andhalf","positive",1,1,1,1,1,1
"318","Female","Ovary","I","3","positive",1,1,1,1,1,1
"319","Female","Ovary","II","1","negative",1,1,1,1,1,1
"320","Female","Ovary","II","1andhalf","negative",1,1,1,1,1,1
"321","Female","Ovary","II","3","negative",1,1,1,1,1,1
"322","Female","Ovary","II","1","positive",1,1,1,1,1,1
"323","Female","Ovary","II","1andhalf","positive",1,1,1,1,1,1
"324","Female","Ovary","II","3","positive",1,1,1,1,1,1
"325","Female","Ovary","III","1","negative",1,1,1,1,1,1
"326","Female","Ovary","III","1andhalf","negative",1,1,1,1,1,1
"327","Female","Ovary","III","3","negative",1,1,1,1,1,1
"328","Female","Ovary","III","1","positive",1,1,1,1,1,1
"329","Female","Ovary","III","1andhalf","positive",1,1,1,1,1,1
"330","Female","Ovary","III","3","positive",1,1,1,1,1,1
"331","Female","Ovary","IV","1","negative",1,1,1,1,1,1
"332","Female","Ovary","IV","1andhalf","negative",1,1,1,1,1,1
"333","Female","Ovary","IV","3","negative",1,1,1,1,1,1
"334","Female","Ovary","IV","1","positive",1,1,1,1,1,1
"335","Female","Ovary","IV","1andhalf","positive",1,1,1,1,1,1
"336","Female","Ovary","IV","3","positive",1,1,1,1,1,1
"337","Female","Pancreas","I","1","negative",1,1,1,1,1,1
"338","Female","Pancreas","I","1andhalf","negative",1,1,1,1,1,1
"339","Female","Pancreas","I","3","negative",1,1,1,1,1,1
"340","Female","Pancreas","I","1","positive",1,1,1,1,1,1
"341","Female","Pancreas","I","1andhalf","positive",1,1,1,1,1,1
"342","Female","Pancreas","I","3","positive",1,1,1,1,1,1
"343","Female","Pancreas","II","1","negative",1,1,1,1,1,1
"344","Female","Pancreas","II","1andhalf","negative",1,1,1,1,1,1
"345","Female","Pancreas","II","3","negative",1,1,1,1,1,1
"346","Female","Pancreas","II","1","positive",1,1,1,1,1,1
"347","Female","Pancreas","II","1andhalf","positive",1,1,1,1,1,1
"348","Female","Pancreas","II","3","positive",1,1,1,1,1,1
"349","Female","Pancreas","III","1","negative",1,1,1,1,1,1
"350","Female","Pancreas","III","1andhalf","negative",1,1,1,1,1,1
"351","Female","Pancreas","III","3","negative",1,1,1,1,1,1
"352","Female","Pancreas","III","1","positive",1,1,1,1,1,1
"353","Female","Pancreas","III","1andhalf","positive",1,1,1,1,1,1
"354","Female","Pancreas","III","3","positive",1,1,1,1,1,1
"355","Female","Pancreas","IV","1","negative",1,1,1,1,1,1
"356","Female","Pancreas","IV","1andhalf","negative",1,1,1,1,1,1
"357","Female","Pancreas","IV","3","negative",1,1,1,1,1,1
"358","Female","Pancreas","IV","1","positive",1,1,1,1,1,1
"359","Female","Pancreas","IV","1andhalf","positive",1,1,1,1,1,1
"360","Female","Pancreas","IV","3","positive",1,1,1,1,1,1
"361","Female","Sarcoma","I","1","negative",1,1,1,1,1,1
"362","Female","Sarcoma","I","1andhalf","negative",1,1,1,1,1,1
"363","Female","Sarcoma","I","3","negative",1,1,1,1,1,1
"364","Female","Sarcoma","I","1","positive",1,1,1,1,1,1
"365","Female","Sarcoma","I","1andhalf","positive",1,1,1,1,1,1
"366","Female","Sarcoma","I","3","positive",1,1,1,1,1,1
"367","Female","Sarcoma","II","1","negative",1,1,1,1,1,1
"368","Female","Sarcoma","II","1andhalf","negative",1,1,1,1,1,1
"369","Female","Sarcoma","II","3","negative",1,1,1,1,1,1
"370","Female","Sarcoma","II","1","positive",1,1,1,1,1,1
"371","Female","Sarcoma","II","1andhalf","positive",1,1,1,1,1,1
"372","Female","Sarcoma","II","3","positive",1,1,1,1,1,1
"373","Female","Sarcoma","III","1","negative",1,1,1,1,1,1
"374","Female","Sarcoma","III","1andhalf","negative",1,1,1,1,1,1
"375","Female","Sarcoma","III","3","negative",1,1,1,1,1,1
"376","Female","Sarcoma","III","1","positive",1,1,1,1,1,1
"377","Female","Sarcoma","III","1andhalf","positive",1,1,1,1,1,1
"378","Female","Sarcoma","III","3","positive",1,1,1,1,1,1
"379","Female","Sarcoma","IV","1","negative",1,1,1,1,1,1
"380","Female","Sarcoma","IV","1andhalf","negative",1,1,1,1,1,1
"381","Female","Sarcoma","IV","3","negative",1,1,1,1,1,1
"382","Female","Sarcoma","IV","1","positive",1,1,1,1,1,1
"383","Female","Sarcoma","IV","1andhalf","positive",1,1,1,1,1,1
"384","Female","Sarcoma","IV","3","positive",1,1,1,1,0,0
"385","Female","Stomach","I","1","negative",1,1,1,1,1,1
"386","Female","Stomach","I","1andhalf","negative",1,1,1,1,1,1
"387","Female","Stomach","I","3","negative",1,1,1,1,1,1
"388","Female","Stomach","I","1","positive",1,1,1,1,1,1
"389","Female","Stomach","I","1andhalf","positive",1,1,1,1,1,1
"390","Female","Stomach","I","3","positive",1,1,1,1,1,1
"391","Female","Stomach","II","1","negative",1,1,1,1,1,1
"392","Female","Stomach","II","1andhalf","negative",1,1,1,1,1,1
"393","Female","Stomach","II","3","negative",1,1,1,1,1,1
"394","Female","Stomach","II","1","positive",1,1,1,1,1,1
"395","Female","Stomach","II","1andhalf","positive",1,1,1,1,1,1
"396","Female","Stomach","II","3","positive",1,1,1,1,1,1
"397","Female","Stomach","III","1","negative",1,1,1,1,1,1
"398","Female","Stomach","III","1andhalf","negative",1,1,1,1,1,1
"399","Female","Stomach","III","3","negative",1,1,1,1,1,1
"400","Female","Stomach","III","1","positive",1,1,1,1,1,1
"401","Female","Stomach","III","1andhalf","positive",1,1,1,1,1,1
"402","Female","Stomach","III","3","positive",1,1,1,1,1,1
"403","Female","Stomach","IV","1","negative",1,1,1,1,1,1
"404","Female","Stomach","IV","1andhalf","negative",1,1,1,1,1,1
"405","Female","Stomach","IV","3","negative",1,1,1,1,1,1
"406","Female","Stomach","IV","1","positive",1,1,1,1,1,1
"407","Female","Stomach","IV","1andhalf","positive",1,1,1,1,1,1
"408","Female","Stomach","IV","3","positive",1,1,1,1,1,1
"409","Female","Thyroid","I","1","negative",1,1,0,0,1,1
"410","Female","Thyroid","I","1andhalf","negative",1,1,0,0,1,1
"411","Female","Thyroid","I","3","negative",1,1,0,0,1,1
"412","Female","Thyroid","I","1","positive",1,1,0,0,1,1
"413","Female","Thyroid","I","1andhalf","positive",1,1,0,0,1,1
"414","Female","Thyroid","I","3","positive",1,1,1,0,1,1
"415","Female","Thyroid","II","1","negative",1,0,1,0,1,1
"416","Female","Thyroid","II","1andhalf","negative",1,0,1,0,1,1
"417","Female","Thyroid","II","3","negative",1,0,1,0,1,1
"418","Female","Thyroid","II","1","positive",1,0,1,0,1,1
"419","Female","Thyroid","II","1andhalf","positive",1,0,1,1,1,1
"420","Female","Thyroid","II","3","positive",0,1,1,1,1,1
"421","Female","Thyroid","III","1","negative",0,1,1,1,1,1
"422","Female","Thyroid","III","1andhalf","negative",0,1,1,1,1,1
"423","Female","Thyroid","III","3","negative",0,1,1,1,1,1
"424","Female","Thyroid","III","1","positive",0,1,1,1,1,1
"425","Female","Thyroid","III","1andhalf","positive",0,1,1,1,1,1
